"Mouse_ID","Transect","Code","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI"
"SK_2657","HZ_CZ","KVET3","M",12.5186,50.2039,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Květná 13","SK",2657,"9/21/14","1M","Dissection",70.8384604975,"9/22/14",1,13.4,76.5,69.8,0.0369,0.0531,0.0556,0.0544,0.0114,0.027,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2658","HZ_CZ","KVET3","F",12.5186,50.2039,2014,"m",NA,"m/m","m/m","","m/m","m/m","m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Květná 13","SK",2658,"9/21/14","1F","Dissection",70.8384604975,"9/22/14",1,12.04,70.6,70.5,0.0323,NA,NA,NA,NA,NA,NA,0.0035,"B-",NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"","","m/m/m/m//m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2659","HZ_CZ","KAC2","M",12.5067,50.1489,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Kaceřov2","SK",2659,"9/21/14","1M","Dissection",72.3971783131,"9/22/14",1,14.67,77.9,65.5,0.0414,0.0836,0.0844,0.084,0.0148,0.0719,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2660","HZ_CZ","KAC2","M",12.5067,50.1489,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Kaceřov2","SK",2660,"9/21/14","1M","Dissection",72.3971783131,"9/22/14",1,15.14,77.9,66.5,0.0449,0.0562,0.054,0.0551,0.0195,0.0741,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2661","HZ_CZ","KAC2","F",12.5067,50.1489,2014,"m",NA,"m/m","m/m","m/m","m/m","m/m","m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Kaceřov2","SK",2661,"9/21/14","1F","Dissection",72.3971783131,"9/22/14",1,17.67,85.2,76.4,0.0925,NA,NA,NA,NA,NA,NA,0.0139,"B-",NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"","","m/m/m/m/m/m/m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2662","HZ_CZ","KAC2","F",12.5067,50.1489,2014,"m",NA,"m/m","m/m","m/m","m/m","m/m","m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Kaceřov2","SK",2662,"9/21/14","1F","Dissection",72.3971783131,"9/22/14",1,15.07,79.2,70.6,0.039,NA,NA,NA,NA,NA,NA,0.0123,"B-",NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"","","m/m/m/m/m/m/m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2663","HZ_CZ","VRB7","M",13.2308,50.1494,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Vrbice 7","SK",2663,"9/21/14","1M","Dissection",119.9073186035,"9/22/14",1,15.63,81.5,72.2,0.0572,0.069,0.068,0.0685,0.023,0.0869,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2664","HZ_CZ","VRB7","M",13.2308,50.1494,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Vrbice 7","SK",2664,"9/21/14","1M","Dissection",119.9073186035,"9/22/14",1,17.84,82.8,80.4,0.045,0.0901,0.0918,0.091,0.0283,0.1036,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"2",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2665","HZ_CZ","VRB7","F",13.2308,50.1494,2014,"m",NA,"m/m","m/m","m/m","m/m","m/m","m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Vrbice 7","SK",2665,"9/21/14","1F","Dissection",119.9073186035,"9/22/14",1,19,84.8,79.3,0.0761,NA,NA,NA,NA,NA,NA,0.0111,"B-",NA,NA,NA,NA,"A",NA,NA,NA,NA,"2",NA,"","","m/m/m/m/m/m/m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"SK_2666","HZ_CZ","KOZL","M",13.0325,50.1083,2014,"m",NA,"m","m","m","m","m","m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CZ","Kozlov","SK",2666,"9/21/14","1M","Dissection",108.7015935965,"9/22/14",1,16.76,75.7,70.1,0.0646,0.0902,0.0869,0.0886,0.0347,0.1045,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,"0",NA,"m","","m/m/m/m/m/m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
