"Mouse_ID","Transect","Code","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI","OPG","location"
"AA_0334","HZ_BR","HARN58","M",14.0078,52.6825,2017,"m","m","m","m","m","m",NA,"m","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm","HI 13",0.947368421,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",12.16,73.26,"68.44","Mus musculus","14-09-17",NA,NA,"0.0209",NA,"0.0173",0.1107,NA,NA,0,0,0,0,0,"Hauptstrasse 58 15345 Harnedorf",NA,"Czech",0.0718,0.0748,NA,NA,NA,NA,NA,"0.05","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.581775335602092,0,"14.0078 52.6825"
"AA_0335","HZ_BR","KLEINE","F",14.0542,51.9744,2017,"d",NA,"mm","mm","mm","mm","mm","mm","100","95","100","120","70","80/100","mm","mm","dd","mm","mm","dm","HI 13",0.84,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",13.65,76.7,"71.65","Mus musculus","14-09-17",NA,NA,"0.0297",NA,NA,NA,NA,NA,0,0,0,0,0,"Waldstrasse 1",NA,"Czech",NA,NA,0.0027,0.0029,0.0056,"0",0,"0.51","TRUE",TRUE,0,1,0,0,1,0,0,0,0,0.602257769245819,0,"14.0542 51.9744"
"AA_0336","HZ_BR","TEMPL1","M",13.4781,53.1153,2017,"m","m","m","m","d","m","m","m",NA,"95","125","120","70/90","80",NA,"mm","mm","mm","mm","mm","HI 13",0.944444444,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5.26,55.3,"53.09","Mus musculus","14-09-17",NA,NA,"0.0103",NA,NA,NA,NA,NA,0,0,0,2,0,"TEMP1","young","Czech",NA,NA,NA,NA,NA,NA,NA,"0.08","FALSE",TRUE,0,0,0,0,2,70,0,0,0,0.413711681321753,0,"13.4781 53.1153"
"AA_0337","HZ_BR","ALTR39","F",14.0817,52.7667,2017,"m",NA,"mm","mm","mm","dd","mm","mm",NA,"95","125","120","70","80",NA,"mm","mm","mm","mm","mm","HI 12",0.913043478,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,115,4,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",14.58,81.18,"73.78","Mus musculus","14-09-17",NA,NA,"21",NA,NA,NA,NA,NA,0,0,0,0,0,"Alte Heerstrasse 39","post partum","Czech",NA,NA,0.0033,0.0039,0.0072,"0",0,"0.6","FALSE",TRUE,0,0,0,0,0,181,4,0,0,0.60947293975809,0,"14.0817 52.7667"
"AA_0338","HZ_BR","WOLZ1","M",13.8339,52.2694,2017,"d","m","m","d","d","d","d","d","94","100","100","100","100","80/100","dd","dd","dd","dd","dd","dm","HI 14",0.15,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"white spot on belly",17.49,82.87,"90.18","Mus musculus","14-09-17",NA,NA,"0.0371",NA,"0.0257",148,NA,NA,0,0,0,0,0,"Spreehagenstr. 1 15754 Heidesee",NA,"Czech",0.0827,0.0852,NA,NA,NA,NA,NA,"0.75","FALSE",TRUE,0,1,0,0,1,0,0,0,0,0.647827112931547,2000,"13.8339 52.2694"
"AA_0339","HZ_BR","JOACHH3","M",13.4589,53.1247,2017,"m","m",NA,"m",NA,"d","m","m","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm","HI 12",0.888888889,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,1,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17.63,84.42,"81.46","Mus musculus","14-09-17",NA,NA,"0.0524",NA,"0.0226",0.1852,NA,NA,0,0,0,0,0,"JOACHIM3",NA,"Czech",0.0579,0.0617,NA,NA,NA,NA,NA,"0.21","FALSE",TRUE,0,0,0,0,0,137,0,0,0,0.646918073077259,0,"13.4589 53.1247"
"AA_0340","HZ_BR","JOACHH3","F",13.4589,53.1247,2017,"d",NA,"mm","mm",NA,"mm","mm","mm","94","95","125","120","70/100","80","dd","mm","mm","mm","dm","mm","HI 12",0.826086957,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",22.19,80.3,"73.83","Mus musculus","14-09-17",NA,NA,"0.0231",NA,NA,NA,NA,NA,0,0,0,0,0,"JOACHIM3","pregnant","Czech",NA,NA,NA,NA,NA,"3",2,"0.13","FALSE",TRUE,0,0,0,0,0,9,0,0,0,0.706749785063077,0,"13.4589 53.1247"
"AA_0341","HZ_BR","TEMPL28","F",13.4864,53.1275,2017,"m",NA,"mm","mm","mm","dd","mm",NA,"100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm","HI 12",0.913043478,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15.8,80.13,"63.74","Mus musculus","14-09-17",NA,NA,"0.0334",NA,NA,NA,NA,NA,0,0,0,0,0,"Lychenerstrasse 28 17268 templin",NA,"Czech",NA,NA,0.0046,0.0039,NA,"0",0,"0.54","FALSE",TRUE,0,0,0,0,0,9,0,0,0,0.629614531544937,0,"13.4864 53.1275"
"AA_0342","HZ_BR","JOACHH3","F",13.4589,53.1247,2017,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm","HI 13",0.84,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17.21,78.79,"76.52","Mus musculus","14-09-17",NA,NA,"36",NA,NA,NA,NA,NA,0,0,0,0,0,"JOACHIM3","pregnant","Czech",NA,NA,NA,NA,NA,"1",2,"0.1","FALSE",TRUE,0,0,0,0,0,67,0,0,0,0.651621250656155,0,"13.4589 53.1247"
"AA_0343","HZ_BR","BRIES23","F",14.0189,51.9661,2017,"m",NA,"mm","dd","mm","mm","mm","mm","100","95/100","100/125","120","100","80","mm","dm","dm","mm","dd","mm","HI 13",0.76,"Germany",NA,NA,NA,NA,NA,NA,NA,"15/09/17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",14.79,80.06,"73.72","Mus musculus","14-09-17",NA,NA,"0.0414",NA,NA,NA,NA,NA,0,0,0,0,0,"Haus am See 23 Briesensee",NA,"Czech",NA,NA,0.0042,0.0064,0.0106,"0",0,"0.13","FALSE",FALSE,0,0,0,0,0,0,0,0,0,0.614667749252542,0,"14.0189 51.9661"
