"Mouse_ID","Code","Transect","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","longitude","latitude","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","REGion","SRY1","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI","farm","Feces_g","year","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","comments","PBS_dil_in_mL","OPG","Ncells","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","observer","n18S_Seq","COI_Seq","ORF470_Seq","eimeriaSpecies","PCRstatus"
"AA_0047","HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","100/120","90/100","80","dm","dd","dm","dm","dm","mm","HI 14",0.65,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,78,83,"mus musculus","2016-09-23",NA,607,"38","0.077/0.076",NA,NA,NA,0,0,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.667224084850343,"13.67608552.497666",1,2016,"Alice","April2018",14,17,18,16,NA,NA,NA,NA,16.25,"",0.1,1625000,4,-6.64,-9.3,"Tabea","negative","negative","negative","Negative","negative"
"AA_0048","HOPPE1","HZ_BR","F",13.676085,52.497666,2016,"d",NA,"mm","mm","mm","mm","mm","mm","100","95/100","100","100","90/100","80","mm","dm","dd","dd","dm","mm","HI 13",0.72,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.825,88,92,"mus musculus","2016-09-23",NA,NA,"43",NA,NA,NA,NA,0,0,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.667125099425653,"13.67608552.497666",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-10.2533333333,-9.5633333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0049","HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","100","95/100","100/125","120","90","80","mm","dm","dm","mm","mm","mm","HI 14",0.85,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53,83,79,"mus musculus","2016-09-23",NA,NA,"49","0.096/0.049",NA,NA,NA,0,3,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,3,0,0.660669007871951,"13.67608552.497666",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-10.5766666667,-10.4533333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0050","HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","120","90/100","80","dm","dd","dm","mm","dm","mm","HI 14",0.7,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.634,82,78,"mus musculus","2016-09-23",NA,NA,"29","0.073/0.074",NA,NA,NA,0,0,0,0,0,0,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,0,0,0,0.651239322415754,"13.67608552.497666",1,2016,"Alice","April2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-11.0466666667,-10.22,"Mert","negative","negative","negative","Negative","negative"
"AA_0051","ZINND","HZ_BR","F",13.9289,52.5028,2016,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","100/125","120","100","80","mm","mm","dm","mm","dd","mm","HI 13",0.76,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.226,76,69,"mus musculus","2016-09-23",NA,NA,"63",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0.613076601048768,"13.928952.5028",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-9.56,-9.6133333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0052","ZINND","HZ_BR","M",13.9289,52.5028,2016,"d","m",NA,"m","d","d","d","m","100","95","100/125","120","70/100","100","mm","mm","dm","mm","dm","dd","HI 13",0.578947368,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.039,83,79,"mus musculus","2016-09-23",TRUE,NA,"81","0.054/0.052","19",87,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,0.641685248666843,"13.928952.5028",1,2016,"Alice","April2018",1,1,3,2,0,3,0,1,1.375,"",0.1,137500,8,-9.9466666667,-10.19,"Mert","negative","negative","negative","Negative","negative"
"AA_0053","ZINND","HZ_BR","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm","HI 12",0.608695652,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.184,85,78,"mus musculus","2016-09-23",TRUE,NA,NA,NA,NA,NA,NA,338,12,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,338,0,12,0,0.676373192009812,"13.928952.5028",1,2016,"Alice","April2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.7433333333,-0.27,"Mert","Tissue","Tissue","Tissue","E_ferrisi","negative"
"AA_0054","ZINND","HZ_BR","F",13.9289,52.5028,2016,NA,NA,"mm","mm","dd","dd","mm","mm","100","95","100","120","70/100","80","mm","mm","dd","mm","dm","mm","HI 12",0.708333333,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.833,69,72,"mus musculus","2016-09-23",TRUE,NA,"39",NA,NA,NA,NA,0,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,26,0,8,0,0.62045133702714,"13.928952.5028",1,2016,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Positive_LOST",0.1,NA,0,-1.5566666667,-7.1366666667,"Mert","positive","positive","negative","E_vermiformis","positive"
"AA_0055","FALK8C","HZ_BR","M",13.3064,52.91,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 14",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.181,80,89,"mus musculus","2016-09-23",TRUE,NA,NA,"0.058/0.062","22",105,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.620727547483976,"13.306452.91",1,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.6033333333,-9.0233333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0056","FALK8C","HZ_BR","F",13.3064,52.91,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd","HI 13",0.08,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.751,62,80,"mus musculus","2016-09-23",TRUE,NA,"6",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,0.525586951424165,"13.306452.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.0766666667,-9.2466666667,"Mert","negative","negative","negative","Negative","negative"
"AA_0057","FALK8C","HZ_BR","M",13.3064,52.91,2016,"d","d","d","d",NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.477,76,85,"mus musculus","2016-09-23",TRUE,NA,"15","0.064/0.066","16",0.05,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.563494641888338,"13.306452.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.0333333333,-9.2533333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0058","HOHW3","HZ_BR","F",14.1158,52.8431,2016,NA,NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm","HI 12",0.916666667,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.044,100,87,"mus musculus","2016-09-23",TRUE,NA,"49",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.671645201176716,"14.115852.8431",2,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.8166666667,-8.9033333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0059","HOHW3","HZ_BR","M",14.1158,52.8431,2016,"d","m","m","m","m","m","m","m","100","95","125","120","90/100","80/100","mm","mm","mm","mm","dm","dm","HI 14",0.85,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.826,88,86,"mus musculus","2016-09-23",TRUE,NA,"28","0.063/0.069","18",147,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.643386500741566,"14.115852.8431",2,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.89,-10.0066666667,"Mert","negative","negative","negative","Negative","negative"
"AA_0060","HOHW3","HZ_BR","F",14.1158,52.8431,2016,"d",NA,"mm","mm","mm","dm","mm","mm","94","95","125","120","90","80","dd","mm","mm","mm","mm","mm","HI 13",0.84,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.264,94,82,"mus musculus","2016-09-23",TRUE,NA,"65",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.719345615202713,"14.115852.8431",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-9.34,-8.5633333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0061","SCHEN8h","HZ_BR","M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 14",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.937,72,80,"mus musculus","2016-09-23",TRUE,NA,"17","0.044/0.047","8",NA,NA,0,0,0,0,0,0,52.273117,13.599425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,0,0,0,0.579807436705721,"13.59942552.273117",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-9.6,-8.8866666667,"Mert","negative","negative","negative","Negative","negative"
"AA_0062","SCHEN8h","HZ_BR","F",13.599425,52.273117,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100/125","100","100","100","dd","dd","dm","dd","dd","dd","HI 13",0.04,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.289,87,92,"mus musculus","2016-09-23",TRUE,NA,"46",NA,NA,NA,NA,0,0,0,0,0,0,52.273117,13.599425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,44,0,0,0,0.638183855421831,"13.59942552.273117",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.3666666667,-8.0066666667,"Mert","negative","negative","negative","Negative","negative"
"AA_0063","WOLZ24","HZ_BR","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd","HI 14",0.1,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.764,65,74,"mus musculus","2016-09-23",NA,NA,"13","0.019/0.014",NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0,0,0,0.545877036604628,"13.8452.2678",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.7966666667,-7.97,"Mert","negative","negative","negative","Negative","negative"
"AA_0064","LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd","HI 13",0.08,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.199,73,88,"mus musculus","2016-09-24",TRUE,NA,"48",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.64910286418943,"13.464252.4164",2.5,2016,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Positive_LOST",0.1,NA,0,-11.11,-2.13,"Tabea","positive","positive","positive","E_ferrisi","positive"
"AA_0065","LIEB39","HZ_BR","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 14",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,75,81,"mus musculus","2016-09-24",TRUE,NA,"37","0.021/0.024","6",8,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.611248313884458,"13.464252.4164",2.5,2016,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,"",0.1,10000,8,-9.0133333333,-2.2166666667,"Mert","positive","positive","positive","E_ferrisi","positive"
"AA_0066","LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","100","100","100","100","90/100","100","mm","dd","dd","dd","dm","dd","HI 13",0.12,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.447,87,89,"mus musculus","2016-09-24",TRUE,NA,"0.02",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.66452169137255,"13.464252.4164",2.5,2016,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Positive_LOST",0.1,NA,0,-10.47,-2.58,"Tabea","positive","positive","positive","E_ferrisi","positive"
"AA_0067","LIEB39","HZ_BR","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd","HI 14",0.1,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.73,79,86,"mus musculus","2016-09-24",TRUE,NA,"26","0.094/0.094","31",153,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.670594229612244,"13.464252.4164",2.5,2016,"Alice","April2018",1,0,0,0,0,0,0,0,0.125,"",0.1,5000,8,-8.52,-3.5933333333,"Mert","positive","positive","positive","E_ferrisi","positive"
"AA_0068","LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100/120","100","100","dd","dd","dd","dm","dd","dd","HI 13",0.04,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.799,83,89,"mus musculus","2016-09-24",TRUE,NA,"34",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.638475023482437,"13.464252.4164",2.5,2016,"Alice","April2018",4,4,3,0,1,2,1,2,2.125,"",0.1,85000,8,-4.16,-1.15,"Victor","Tissue","Tissue","positive","E_ferrisi","positive"
"AA_0069","LIEB39","HZ_BR","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 14",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.252,78,87,"mus musculus","2016-09-24",TRUE,NA,"29","0.017/0.018","3",5,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.609840444573022,"13.464252.4164",2.5,2016,"Alice","April2018",3,5,3,4,3,8,5,2,4.125,"",0.1,165000,8,-17.67,-3.84,"Tabea","Tissue","Tissue","negative","E_falciformis","negative"
"AA_0070","LIEB39","HZ_BR","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.956,72,85,"mus musculus","2016-09-24",TRUE,NA,"21",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9,0,0,0,0.616346810802939,"13.464252.4164",2.5,2016,"Alice","April2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-3.57,-3.94,"Tabea&Victor","positive","positive","positive","E_ferrisi","positive"
"AA_0071","MARIEW","HZ_BR","F",13.6,52.8425,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100","100","100","dd","dm","dd","dd","dd","dd","HI 13",0.04,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.654,78,88,"mus musculus","2016-09-24",TRUE,NA,"22",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.6000016578988,"13.652.8425",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.7466666667,-7.7,"Mert","negative","negative","negative","Negative","negative"
"AA_0072","MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.107,75,82,"mus musculus","2016-09-24",TRUE,NA,"41",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.628874507853061,"13.304752.9936",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-8.16,-7.3366666667,"Mert","negative","negative","negative","Negative","negative"
"AA_0073","MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.033,85,79,"mus musculus","2016-09-24",TRUE,NA,"33",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0.651008428469348,"13.304752.9936",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-9.0333333333,-7.1533333333,"Mert","negative","negative","negative","Negative","negative"
"AA_0074","MILD1","HZ_BR","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany",NA,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.747,86,88,"mus musculus","2016-09-24",TRUE,NA,"35",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17,0,0,0,0.669683206692064,"13.304752.9936",2.5,2016,"Enas","2017",0,0,0,0,0,0,0,0,0,"",0.1,0,8,-10.9766666667,-10.63,"Mert","negative","negative","negative","Negative","negative"
