"Mouse_ID","Code","Transect","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","State","Locality","ID","PIN","Arrival","Wean","Death","Dist","Dissection","DaysInLab","BW","L","LCd","Spleen","Ltestis","Rtestis","Testes","Lepid","SemVes","Uterus","Ovaria","Grav","Litters","NN","MM","FF","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Trichuris_muris","Taenia_taeniformis","Flea","Note","Zfy2","X","collapsed.GT","ith","L15","Y","Longitude.extra","Latitude.extra","Notes","Body_weight","Body_length","Tail_length","Species","Capture","Head.taken.","Liver_mass","Spleen_mass","Testis_mass","Left.epididymis.weight","Seminal.vesicle.weight","Embryo","Mix_Syphacia_Aspiculuris","Heterakis_spumosa","Mastophorus_muris","Hymenolepis_microstoma","Catenotaenia_pusilla","Cysticercus","longitude","latitude","Address","Status","Dissectors","Left_Testis_mass","Right_Testis_mass","Left.ovarium.weight","Right.ovarium.weight","Total","Embryo_left","Embryo_right","Feces_weight","Ectoparasites","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","REGion","SRY1","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","BCI","farm","Feces_g","year","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","comments","PBS_dil_in_mL","OPG","Ncells","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","observer","n18S_Seq","COI_Seq","ORF470_Seq","eimeriaSpecies","PCRstatus"
"SK_3149","PAPP1","HZ_BR","F",13.6506,53.2108,2015,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90","100","mm","mm","mm","mm","mm","dd","HI 13",0.8,"Germany","Pappelwerder 1","SK",NA,"10/8/15","1F","Dissection",NA,"10/9/15",1,NA,NA,NA,0.0124,NA,NA,NA,NA,NA,NA,NA,"B-",NA,NA,NA,NA,"A",0,5,0,0,NA,NA,NA,NA,NA,3640,NA,NA,13.651,53.2108333333,NA,7.83,62.9,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,NA,NA,0.496906814183855,"13.650653.2108",0.158,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,NA,NA,NA,"negative","negative","negative","Negative","negative"
"SK_3150","ZEHL1","HZ_BR","F",13.3994,52.7969,2015,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd","HI 13",0,"Germany","Zehlendorf 1","SK",NA,"10/8/15","1F","Dissection",NA,"10/9/15",1,NA,NA,NA,0.0296,NA,NA,NA,NA,NA,NA,0.0082,"B-",NA,NA,NA,NA,"A",8,107,0,0,NA,NA,NA,NA,NA,5308,NA,NA,13.399,52.7969444444,NA,13.94,72.4,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,115,0,NA,NA,0.615281521048314,"13.399452.7969",0.255,2015,"Alice","Jan2018",1,0,1,1,1,1,0,0,0.625,"few only. Aspiculuris eggs",0.1,245098.039215686,8,NA,NA,NA,"negative","negative","negative","Negative","negative"
"SK_3151","LIEB38","HZ_BR","M",13.4636,52.9156,2015,"d","d","d","d","d","d","d","d","94","95/100","100","100","90/100","100","dd","dm","dd","dd","dm","dd","HI 14",0.1,"Germany","Liebenthal","SK",NA,"10/9/15","1M","Dissection",NA,"10/10/15",1,NA,NA,NA,0.0243,0.084,0.0853,0.0847,0.0296,0.1655,NA,NA,NA,NA,NA,NA,NA,"A",0,25,0,0,NA,NA,"d",NA,NA,2448,NA,NA,13.464,52.9155555556,NA,15.18,76.4,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,0,NA,NA,0.627303880702408,"13.463652.9156",0.148,2015,"Alice","Jan2018",19,16,20,16,9,16,19,13,16,"",0.1,10810810.8108108,8,NA,NA,NA,"positive","positive","positive","E_ferrisi","positive"
"SK_3152","NEULO9","HZ_BR","F",13.1972,52.9008,2015,"d",NA,"dd","dd","dd","dd","dd","dd","94/100","95","125","100/120","100","80","dm","mm","mm","dm","dd","mm","HI 13",0.32,"Germany","Neulöwenberg","SK",NA,"10/9/15","1F","Dissection",NA,"10/10/15",1,NA,NA,NA,0.0259,NA,NA,NA,NA,NA,NA,0.0045,"B-",NA,NA,NA,NA,"A",0,0,0,0,NA,NA,NA,NA,NA,3246,NA,NA,13.197,52.9008333333,NA,13.48,73.7,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.604931491200646,"13.197252.9008",0.042,2015,"Alice","Jan2018",0,0,0,0,0,0,0,0,0,"",0.1,0,8,NA,NA,NA,"negative","negative","negative","Negative","negative"
"SK_3153","HOPPE1","HZ_BR","F",13.676085,52.497666,2015,"d",NA,"dd","dd","dd","dd","dd","dd","100","100","100","100","100","100","mm","dd","dd","dd","dd","dd","HI 13",0.08,"Germany","Hoppegarten 1","SK",NA,"10/9/15","1F","Dissection",NA,"10/10/15",1,NA,NA,NA,0.0178,NA,NA,NA,NA,NA,NA,0.0093,"B+",5,NA,NA,NA,"A",0,0,0,0,NA,NA,NA,NA,NA,1356,NA,NA,13.676,52.4977777778,NA,18.6,83.5,98.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.660624384057465,"13.67608552.497666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"negative","negative","negative","Negative","negative"
"SK_3153-1","HOPPE1",NA,"F",13.676085,52.497666,2015,"d",NA,"d/d","d/d","d/d","d/d","d/d","d/d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HI 7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"13.67608552.497666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK_3153-2","HOPPE1",NA,"F",13.676085,52.497666,2015,"d",NA,"d/d","d/d","d/d","d/d","d/d","d/d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HI 7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"13.67608552.497666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK_3153-3","HOPPE1",NA,"F",13.676085,52.497666,2015,"d",NA,"d/d","d/d","d/d","d/d","d/d","d/d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HI 7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"13.67608552.497666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK_3153-4","HOPPE1",NA,"F",13.676085,52.497666,2015,"d",NA,"d/d","d/d","d/d","d/d","d/d","d/d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HI 7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"13.67608552.497666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK_3153-5","HOPPE1",NA,"M",13.676085,52.497666,2015,NA,NA,"d","d","d","d","d","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HI 7",0.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,NA,1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.497666,13.676085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"13.67608552.497666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
