Individual_mouse,Latitude,Longtitude,Sex,HI,Hymenolepis,Taenia,Rodentolepis,Mesocestoides,Calodium,Mastophorus,Trichuris,Heterakis,Aspiculuris+Syphacia
75,50.1058333333,12.3975,F,0.347826087,0,0,0,0,0,0,0,0,0
76,49.8913888889,11.6461111111,F,0.986505682,0,0,0,0,0,0,0,0,0
77,49.9280555556,11.7819444444,F,0.976529161,0,1,0,0,0,0,0,0,57
78,49.8908333333,11.6177777778,F,0.984708393,0,0,0,0,0,0,2,0,5
79,49.8908333333,11.6177777778,F,0.983262108,0,2,0,0,0,0,6,0,59
80,50.1641666667,12.4311111111,M,NA,0,0,0,0,0,0,0,0,0
81,50.1813888889,11.7622222222,F,0.981165601,0,0,0,0,0,0,0,0,1
82,50.1925,12.3936111111,M,0.619188192,0,0,0,0,0,0,0,0,1
83,50.1197222222,12.2502777778,F,0.858156028,0,0,0,0,0,0,0,0,5
84,49.8913888889,11.6461111111,M,0.986451849,0,0,0,0,0,0,1,0,1
85,50.1947222222,11.4375,F,0.985085227,1,0,0,36,0,0,0,1,5
86,50.1669444444,11.6625,F,0.986515259,0,0,0,0,0,0,0,0,0
87,50.1402777778,12.2966666667,F,0.685014205,0,0,0,0,0,0,0,0,291
88,50.1516666667,12.5319444444,M,0.193240265,0,0,0,0,0,0,0,0,195
89,50.1516666667,12.5319444444,F,0.178495387,0,0,0,0,0,0,0,0,76
90,50.1516666667,12.5319444444,M,0.233870968,0,0,0,0,0,0,0,0,52
91,50.1516666667,12.5319444444,F,0.162642045,0,0,0,0,0,0,0,0,31
92,50.1144444444,12.4702777778,M,0.358559882,0,0,0,0,0,0,0,0,0
93,50.0597222222,12.4205555556,F,0.267755682,0,0,0,0,0,0,0,0,12
94,50.0133333333,12.2577777778,M,0.914893617,0,0,7,0,0,9,0,0,3
95,50.0133333333,12.2577777778,F,0.919159544,0,0,19,0,0,0,1,0,56
96,50.0877777778,12.1344444444,M,0.947058824,0,0,0,0,0,0,0,0,0
97,50.0880555556,12.1344444444,F,0.95056899,0,1,0,0,0,0,0,0,25
98,50.1019444444,12.2127777778,M,0.913489736,0,0,0,0,0,9,0,0,122
99,50.1775,12.4205555556,F,0.785003554,0,0,0,0,0,0,75,0,19
100,50.1813888889,11.7622222222,M,0.981270657,0,0,0,0,0,0,0,0,9
101,50.1019444444,12.2127777778,F,0.901633523,0,0,0,0,0,41,173,0,0
102,50.1947222222,11.4375,M,0.987184182,0,0,0,0,0,0,2,0,32
